Year,OPRHP Region,County,Facility,Attendance
2009,Thousand Islands,Jefferson,Sackets Harbor Btl Field,98132
2008,Thousand Islands,Jefferson,Sackets Harbor Btl Field,89069
2007,Thousand Islands,Jefferson,Sackets Harbor Btl Field,104440
2006,Thousand Islands,Jefferson,Sackets Harbor Btl Field,91099
2005,Thousand Islands,Jefferson,Sackets Harbor Btl Field,90923
2004,Thousand Islands,Jefferson,Sackets Harbor Btl Field,101167
2003,Thousand Islands,Jefferson,Sackets Harbor Btl Field,96288
2020,Long Island,Suffolk,Sag Harbour,29626
2019,Long Island,Suffolk,Sag Harbour,21968
2018,Long Island,Suffolk,Sag Harbour,22272
2017,Long Island,Suffolk,Sag Harbour,23814
2016,Long Island,Suffolk,Sag Harbour,23873
2015,Long Island,Suffolk,Sag Harbour,24975
2014,Long Island,Suffolk,Sag Harbour,25266
2013,Long Island,Suffolk,Sag Harbour,28695
2012,Long Island,Suffolk,Sag Harbour,30630
2011,Long Island,Suffolk,Sag Harbour,29750
2010,Long Island,Suffolk,Sag Harbour,35715
2009,Long Island,Suffolk,Sag Harbour,35785
2008,Long Island,Suffolk,Sag Harbour,37870
2007,Long Island,Suffolk,Sag Harbour,35511
2006,Long Island,Suffolk,Sag Harbour,34020
2005,Long Island,Suffolk,Sag Harbour,32968
2004,Long Island,Suffolk,Sag Harbour,33845
2003,Long Island,Suffolk,Sag Harbour,30685
2020,Finger Lakes,Seneca,Sampson St Pk,163569
2019,Finger Lakes,Seneca,Sampson St Pk,165614
2018,Finger Lakes,Seneca,Sampson St Pk,180254
2017,Finger Lakes,Seneca,Sampson St Pk,161304
2016,Finger Lakes,Seneca,Sampson St Pk,175672
2015,Finger Lakes,Seneca,Sampson St Pk,188355
2014,Finger Lakes,Seneca,Sampson St Pk,166043
2013,Finger Lakes,Seneca,Sampson St Pk,154384
2012,Finger Lakes,Seneca,Sampson St Pk,158662
2011,Finger Lakes,Seneca,Sampson St Pk,158682
2010,Finger Lakes,Seneca,Sampson St Pk,173894
2009,Finger Lakes,Seneca,Sampson St Pk,171828
2008,Finger Lakes,Seneca,Sampson St Pk,181926
2007,Finger Lakes,Seneca,Sampson St Pk,183410
2006,Finger Lakes,Seneca,Sampson St Pk,172884
2005,Finger Lakes,Seneca,Sampson St Pk,188434
2004,Finger Lakes,Seneca,Sampson St Pk,182469
2003,Finger Lakes,Seneca,Sampson St Pk,191513
2020,Palisades,Ulster,Sam's Point,97612
2019,Palisades,Ulster,Sam's Point,86437
2018,Palisades,Orange,Sam's Point,82475
2017,Palisades,Orange,Sam's Point,79406
2016,Palisades,Orange,Sam's Point,62769
2015,Palisades,Orange,Sam's Point,65685
2020,Central,Oswego,Sandy Island Beach,25455
2019,Central,Oswego,Sandy Island Beach,18842
2018,Central,Oswego,Sandy Island Beach,25364
2017,Central,Oswego,Sandy Island Beach,20577
2016,Central,Oswego,Sandy Island Beach,32327
2015,Central,Oswego,Sandy Island Beach,33932
2014,Central,Oswego,Sandy Island Beach,33276
2013,Central,Oswego,Sandy Island Beach,35849
2012,Central,Oswego,Sandy Island Beach,39375
2011,Central,Oswego,Sandy Island Beach,38018
2010,Central,Oswego,Sandy Island Beach,37580
2009,Central,Oswego,Sandy Island Beach,36983
2008,Central,Oswego,Sandy Island Beach,28637
2007,Central,Oswego,Sandy Island Beach,28038
2006,Central,Oswego,Sandy Island Beach,25795
2005,Central,Oswego,Sandy Island Beach,32562
2004,Central,Oswego,Sandy Island Beach,15185
2003,Central,Oswego,Sandy Island Beach,0
2020,Saratoga/Capital,Saratoga,Saratoga Lake Boat Lnch,76861
2019,Saratoga/Capital,Saratoga,Saratoga Lake Boat Lnch,111352
2018,Saratoga/Capital,Saratoga,Saratoga Lake Boat Lnch,74902
2017,Saratoga/Capital,Saratoga,Saratoga Lake Boat Lnch,87562
2016,Saratoga,Saratoga,Saratoga Lake Boat Lnch,115781
2015,Saratoga,Saratoga,Saratoga Lake Boat Lnch,99803
2014,Saratoga,Saratoga,Saratoga Lake Boat Lnch,125144
2013,Saratoga,Saratoga,Saratoga Lake Boat Lnch,109046
2012,Saratoga,Saratoga,Saratoga Lake Boat Lnch,50211
2011,Saratoga,Saratoga,Saratoga Lake Boat Lnch,31125
2010,Saratoga,Saratoga,Saratoga Lake Boat Lnch,76545
2009,Saratoga,Saratoga,Saratoga Lake Boat Lnch,90148
2008,Saratoga,Saratoga,Saratoga Lake Boat Lnch,64826
2007,Saratoga,Saratoga,Saratoga Lake Boat Lnch,109089
2006,Saratoga,Saratoga,Saratoga Lake Boat Lnch,99450
2005,Saratoga,Saratoga,Saratoga Lake Boat Lnch,78591
2004,Saratoga,Saratoga,Saratoga Lake Boat Lnch,63320
2003,Saratoga,Saratoga,Saratoga Lake Boat Lnch,67082
2016,Saratoga,Saratoga,Saratoga Springs,2282427
2015,Saratoga,Saratoga,Saratoga Springs,2584669
2014,Saratoga,Saratoga,Saratoga Springs,3014277
2013,Saratoga,Saratoga,Saratoga Springs,2936194
2012,Saratoga,Saratoga,Saratoga Springs,2196378
2011,Saratoga,Saratoga,Saratoga Springs,1916781
2010,Saratoga,Saratoga,Saratoga Springs,2007752
2009,Saratoga,Saratoga,Saratoga Springs,1530259
2008,Saratoga,Saratoga,Saratoga Springs,1486723
2007,Saratoga,Saratoga,Saratoga Springs,1801638
2006,Saratoga,Saratoga,Saratoga Springs,1544905
2005,Saratoga,Saratoga,Saratoga Springs,890941
2004,Saratoga,Saratoga,Saratoga Springs,942524
2003,Saratoga,Saratoga,Saratoga Springs,998149
2020,Saratoga/Capital,Saratoga,Saratoga Springs (incl Victoria Pool & Golf Course),2278570
2019,Saratoga/Capital,Saratoga,Saratoga Springs (incl Victoria Pool & Golf Course),3065622
2018,Saratoga/Capital,Saratoga,Saratoga Springs (incl Victoria Pool & Golf Course),2937683
2017,Saratoga/Capital,Saratoga,Saratoga Springs (incl Victoria Pool & Golf Course),3065282
2020,Saratoga/Capital,Rensselaer,Schodack Island,248485
2019,Saratoga/Capital,Rensselaer,Schodack Island,207678
2018,Saratoga/Capital,Rensselaer,Schodack Island,194377
2017,Saratoga/Capital,Rensselaer,Schodack Island,187053
2016,Saratoga,Rensselaer,Schodack Island,185786
2015,Saratoga,Rensselaer,Schodack Island,113167
2014,Saratoga,Rensselaer,Schodack Island,125466
2013,Saratoga,Rensselaer,Schodack Island,98752
2012,Saratoga,Rensselaer,Schodack Island,105758
2011,Saratoga,Rensselaer,Schodack Island,78722
2010,Saratoga,Rensselaer,Schodack Island,76453
2009,Saratoga,Rensselaer,Schodack Island,74678
2008,Saratoga,Rensselaer,Schodack Island,53729
2007,Saratoga,Rensselaer,Schodack Island,53627
2006,Saratoga,Rensselaer,Schodack Island,49510
2005,Saratoga,Rensselaer,Schodack Island,34081
2004,Saratoga,Rensselaer,Schodack Island,31971
2003,Saratoga,Rensselaer,Schodack Island,30995
2020,Saratoga/Capital,Montgomery,Schoharie Crossing,92703
2019,Saratoga/Capital,Montgomery,Schoharie Crossing,89021
2018,Saratoga/Capital,Montgomery,Schoharie Crossing,68382
2017,Saratoga/Capital,Montgomery,Schoharie Crossing,73971
2016,Saratoga,Montgomery,Schoharie Crossing,78550
2015,Saratoga,Montgomery,Schoharie Crossing,75849
2014,Saratoga,Montgomery,Schoharie Crossing,56503
2013,Saratoga,Montgomery,Schoharie Crossing,47620
2012,Saratoga,Montgomery,Schoharie Crossing,53963
2011,Saratoga,Montgomery,Schoharie Crossing,43837
2010,Saratoga,Montgomery,Schoharie Crossing,52615
2009,Saratoga,Montgomery,Schoharie Crossing,61527
2008,Saratoga,Montgomery,Schoharie Crossing,44980
2007,Saratoga,Montgomery,Schoharie Crossing,43025
2006,Saratoga,Montgomery,Schoharie Crossing,63680
2005,Saratoga,Montgomery,Schoharie Crossing,79452
2004,Saratoga,Montgomery,Schoharie Crossing,84237
2003,Saratoga,Montgomery,Schoharie Crossing,63430
2020,Palisades,Orange,Schunnemunk State Park,50934
2019,Palisades,Orange,Schunnemunk State Park,50410
2018,Palisades,Orange,Schunnemunk State Park,48950
2017,Palisades,Orange,Schunnemunk State Park,54625
2016,Palisades,Orange/Rockland,Schunnemunk State Park,52941
2015,Palisades,Orange/Rockland,Schunnemunk State Park,51993
2014,Palisades,Orange,Schunnemunk State Park,44141
2013,Palisades,Orange,Schunnemunk State Park,42510
2012,Palisades,Orange,Schunnemunk State Park,36405
2011,Palisades,Orange,Schunnemunk State Park,32932
2010,Palisades,Orange,Schunnemunk State Park,32739
2009,Palisades,Orange,Schunnemunk State Park,30468
2008,Palisades,Orange,Schunnemunk State Park,28579
2007,Palisades,Orange,Schunnemunk State Park,25567
2006,Palisades,Orange,Schunnemunk State Park,24313
2005,Palisades,Orange,Schunnemunk State Park,19039
2004,Palisades,Orange,Schunnemunk State Park,5916
2003,Palisades,Orange,Schunnemunk State Park,417
2020,Saratoga/Capital,Albany,Schuyler Mansion,5029
2019,Saratoga/Capital,Albany,Schuyler Mansion,15206
2018,Saratoga/Capital,Albany,Schuyler Mansion,10889
2017,Saratoga/Capital,Albany,Schuyler Mansion,12055
2016,Saratoga,Albany,Schuyler Mansion,9971
2015,Saratoga,Albany,Schuyler Mansion,5592
2014,Saratoga,Albany,Schuyler Mansion,6083
2013,Saratoga,Albany,Schuyler Mansion,5629
2012,Saratoga,Albany,Schuyler Mansion,5386
2011,Saratoga,Albany,Schuyler Mansion,6156
2010,Saratoga,Albany,Schuyler Mansion,4914
2009,Saratoga,Albany,Schuyler Mansion,4888
2008,Saratoga,Albany,Schuyler Mansion,5053
2007,Saratoga,Albany,Schuyler Mansion,5198
2006,Saratoga,Albany,Schuyler Mansion,6014
2005,Saratoga,Albany,Schuyler Mansion,3635
2004,Saratoga,Albany,Schuyler Mansion,4400
2003,Saratoga,Albany,Schuyler Mansion,4206
2020,Palisades,Orange/Rockland,Sebago Lake,119659
2019,Palisades,Orange/Rockland,Sebago Lake,81226
2018,Palisades,Orange/Rockland/Ulster,Sebago Lake,69498
2017,Palisades,Orange/Rockland/Ulster,Sebago Lake,100542
2016,Palisades,Ulster,Sebago Lake,149568
2015,Palisades,Ulster,Sebago Lake,130479
2014,Palisades,Orange/Rockland,Sebago Lake,52404
2013,Palisades,Orange/Rockland,Sebago Lake,62408
2012,Palisades,Orange/Rockland,Sebago Lake,209720
2011,Palisades,Orange/Rockland,Sebago Lake,239701
2010,Palisades,Orange/Rockland,Sebago Lake,265401
2009,Palisades,Orange/Rockland,Sebago Lake,383009
2008,Palisades,Orange/Rockland,Sebago Lake,253677
2007,Palisades,Orange/Rockland,Sebago Lake,206913
2006,Palisades,Orange/Rockland,Sebago Lake,221579
2005,Palisades,Orange/Rockland,Sebago Lake,114032
2004,Palisades,Orange/Rockland,Sebago Lake,94028
2003,Palisades,Orange/Rockland,Sebago Lake,97738
2020,Central,Oswego,Selkirk Shores,92502
2019,Central,Oswego,Selkirk Shores,96448
2018,Central,Oswego,Selkirk Shores,112422
2017,Central,Oswego,Selkirk Shores,99946
2016,Central,Oswego,Selkirk Shores,107911
2015,Central,Oswego,Selkirk Shores,100397
2014,Central,Oswego,Selkirk Shores,77930
2013,Central,Oswego,Selkirk Shores,75069
2012,Central,Oswego,Selkirk Shores,82244
2011,Central,Oswego,Selkirk Shores,86266
2010,Central,Oswego,Selkirk Shores,130385
2009,Central,Oswego,Selkirk Shores,150790
2008,Central,Oswego,Selkirk Shores,160287
2007,Central,Oswego,Selkirk Shores,178870
2006,Central,Oswego,Selkirk Shores,159023
2005,Central,Oswego,Selkirk Shores,151983
2004,Central,Oswego,Selkirk Shores,150380
2003,Central,Oswego,Selkirk Shores,166455
2020,Palisades,Ulster,Senate House,19793
2019,Palisades,Ulster,Senate House,38595
2018,Palisades,Orange/Ulster,Senate House,45454
2017,Palisades,Orange/Ulster,Senate House,47699
2016,Palisades,Orange,Senate House,39661
2015,Palisades,Orange,Senate House,34752
2014,Palisades,Ulster,Senate House,29900
2013,Palisades,Ulster,Senate House,19602
2012,Palisades,Ulster,Senate House,15944
2011,Palisades,Ulster,Senate House,17394
2010,Palisades,Ulster,Senate House,14713
2009,Palisades,Ulster,Senate House,16773
2008,Palisades,Ulster,Senate House,23160
2007,Palisades,Ulster,Senate House,22731
2006,Palisades,Ulster,Senate House,12310
2005,Palisades,Ulster,Senate House,13029
2004,Palisades,Ulster,Senate House,15178
2003,Palisades,Ulster,Senate House,15326
2020,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,164232
2019,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,140148
2018,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,151380
2017,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,187897
2016,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,203580
2015,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,132622
2014,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,144200
2013,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,140186
2012,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,164166
2011,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,147704
2010,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,186237
2009,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,171762
2008,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,169670
2007,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,129339
2006,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,116988
2005,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,187520
2004,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,188984
2003,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,184428
2014,Long Island,Suffolk,Shadmoor,44235
2013,Long Island,Suffolk,Shadmoor,55595
2020,Long Island,Suffolk,Shadmore,167175
2019,Long Island,Suffolk,Shadmore,107760
2018,Long Island,Suffolk,Shadmore,114490
2017,Long Island,Suffolk,Shadmore,92155
2016,Long Island,Suffolk,Shadmore,48855
2015,Long Island,Suffolk,Shadmore,41295
2012,Long Island,Suffolk,Shadmore,45896
2011,Long Island,Suffolk,Shadmore,58385
2010,Long Island,Suffolk,Shadmore,59480
2009,Long Island,Suffolk,Shadmore,93485
2008,Long Island,Suffolk,Shadmore,111595
2007,Long Island,Suffolk,Shadmore,120645
2006,Long Island,Suffolk,Shadmore,115220
2005,Long Island,Suffolk,Shadmore,104215
2004,Long Island,Suffolk,Shadmore,118935
2003,Long Island,Suffolk,Shadmore,0
2020,New York City,Kings,Shirley Chisholm State Park,435549
2019,New York City,Kings,Shirley Chisholm State Park,111849
2020,Genesee,Wyoming,Silver Lake,34902
2019,Genesee,Wyoming,Silver Lake,27031
2018,Genesee,Wyoming,Silver Lake,19527
2017,Genesee,Wyoming,Silver Lake,22062
2016,Genesee,Wyoming,Silver Lake,20788
2015,Genesee,Wyoming,Silver Lake,23060
2014,Genesee,Wyoming,Silver Lake,22478
2013,Genesee,Wyoming,Silver Lake,24349
2012,Genesee,Wyoming,Silver Lake,26854
2011,Genesee,Wyoming,Silver Lake,22020
2010,Genesee,Wyoming,Silver Lake,25370
2009,Genesee,Wyoming,Silver Lake,20164
2008,Genesee,Wyoming,Silver Lake,23800
2007,Genesee,Wyoming,Silver Lake,30407
2006,Genesee,Wyoming,Silver Lake,26110
2005,Genesee,Wyoming,Silver Lake,32155
2004,Genesee,Wyoming,Silver Lake,27492
2003,Genesee,Wyoming,Silver Lake,27428
2016,Finger Lakes,Chemung,Soaring Eagles Golf Course,28476
2015,Finger Lakes,Chemung,Soaring Eagles Golf Course,26543
2014,Finger Lakes,Chemung,Soaring Eagles Golf Course,26930
2013,Finger Lakes,Chemung,Soaring Eagles Golf Course,27565
2012,Finger Lakes,Chemung,Soaring Eagles Golf Course,25090
2011,Finger Lakes,Chemung,Soaring Eagles Golf Course,24785
2010,Finger Lakes,Chemung,Soaring Eagles Golf Course,27142
2009,Finger Lakes,Chemung,Soaring Eagles Golf Course,29419
2008,Finger Lakes,Chemung,Soaring Eagles Golf Course,33200
2007,Finger Lakes,Chemung,Soaring Eagles Golf Course,34848
2006,Finger Lakes,Chemung,Soaring Eagles Golf Course,32793
2005,Finger Lakes,Chemung,Soaring Eagles Golf Course,43247
2004,Finger Lakes,Chemung,Soaring Eagles Golf Course,66213
2003,Finger Lakes,Chemung,Soaring Eagles Golf Course,55800
2020,Finger Lakes,Ontario,Sonnenberg Gardens and Mansion,15388
2019,Finger Lakes,Ontario,Sonnenberg Gardens and Mansion,34129
2018,Finger Lakes,,Sonnenberg Gardens and Mansion,34329
2017,Finger Lakes,,Sonnenberg Gardens and Mansion,39000
2020,Thousand Islands,Jefferson,Southwick Beach St Pk,148336
2019,Thousand Islands,Jefferson,Southwick Beach St Pk,84212
2018,Thousand Islands,Jefferson,Southwick Beach St Pk,114713
2017,Thousand Islands,Jefferson,Southwick Beach St Pk,89190
2016,Thousand Islands,Jefferson,Southwick Beach St Pk,136227
2015,Thousand Islands,Jefferson,Southwick Beach St Pk,124555
2014,Thousand Islands,Jefferson,Southwick Beach St Pk,114990
2013,Thousand Islands,Jefferson,Southwick Beach St Pk,120345
2012,Thousand Islands,Jefferson,Southwick Beach St Pk,129306
2011,Thousand Islands,Jefferson,Southwick Beach St Pk,108347
2010,Thousand Islands,Jefferson,Southwick Beach St Pk,100464
2009,Thousand Islands,Jefferson,Southwick Beach St Pk,90723
2008,Thousand Islands,Jefferson,Southwick Beach St Pk,85493
2007,Thousand Islands,Jefferson,Southwick Beach St Pk,89735
2006,Thousand Islands,Jefferson,Southwick Beach St Pk,91062
2005,Thousand Islands,Jefferson,Southwick Beach St Pk,96435
2004,Thousand Islands,Jefferson,Southwick Beach St Pk,83828
2003,Thousand Islands,Jefferson,Southwick Beach St Pk,86761
2020,Finger Lakes,Cayuga,Springbrook Greens,375
2019,Finger Lakes,Cayuga,Springbrook Greens,221
2018,Finger Lakes,,Springbrook Greens,2159
2017,Finger Lakes,,Springbrook Greens,5002
2016,Finger Lakes,Cayuga,Springbrook Greens,0
2015,Finger Lakes,Cayuga,Springbrook Greens,0
2014,Finger Lakes,Cayuga,Springbrook Greens,8456
2013,Finger Lakes,Cayuga,Springbrook Greens,4909
2012,Finger Lakes,Cayuga,Springbrook Greens,0
2011,Finger Lakes,Cayuga,Springbrook Greens,6000
2010,Finger Lakes,Cayuga,Springbrook Greens,6299
2009,Finger Lakes,Cayuga,Springbrook Greens,9015
2008,Finger Lakes,Cayuga,Springbrook Greens,8735
2007,Finger Lakes,Cayuga,Springbrook Greens,8563
2006,Finger Lakes,Cayuga,Springbrook Greens,10085
2005,Finger Lakes,Cayuga,Springbrook Greens,0
2004,Finger Lakes,Cayuga,Springbrook Greens,0
2003,Finger Lakes,Cayuga,Springbrook Greens,0
2014,Taconic,Dutchess,Staatsburgh Shs,47619
2013,Taconic,Dutchess,Staatsburgh Shs,46007
2012,Taconic,Dutchess,Staatsburgh Shs,14849
2011,Taconic,Dutchess,Staatsburgh Shs,13158
2010,Taconic,Dutchess,Staatsburgh Shs,16128
2009,Taconic,Dutchess,Staatsburgh Shs,15619
2008,Taconic,Dutchess,Staatsburgh Shs,19240
2007,Taconic,Dutchess,Staatsburgh Shs,22459
2006,Taconic,Dutchess,Staatsburgh Shs,23182
2005,Taconic,Dutchess,Staatsburgh Shs,19143
2004,Taconic,Dutchess,Staatsburgh Shs,21186
2003,Taconic,Dutchess,Staatsburgh Shs,16173
2020,Taconic,Dutchess,Staatsburgh SHS,65112
2019,Taconic,Dutchess,Staatsburgh SHS,55067
2018,Taconic,Dutchess,Staatsburgh SHS,55339
2017,Taconic,Dutchess,Staatsburgh SHS,56079
2016,Taconic,Dutchess,Staatsburgh SHS,45153
2015,Taconic,Dutchess,Staatsburgh SHS,43068
2020,Central,Onondaga,State Park at the Fair *1,0
2019,Central,Onondaga,State Park at the Fair *1,1329275
2018,Central,Onondaga,State Park at the Fair *1,1279010
2017,Central,Onondaga,State Park at the Fair *1,1161912
2020,Palisades,Orange,Sterling Forest,305537
2019,Palisades,Orange,Sterling Forest,309492
2018,Palisades,Orange/Rockland,Sterling Forest,297659
2017,Palisades,Orange/Orckland,Sterling Forest,318159
2016,Palisades,Rockland,Sterling Forest,333204
2015,Palisades,Rockland,Sterling Forest,325884
2014,Palisades,Orange,Sterling Forest,266944
2013,Palisades,Orange,Sterling Forest,254485
2012,Palisades,Orange,Sterling Forest,206563
2011,Palisades,Orange,Sterling Forest,184731
2010,Palisades,Orange,Sterling Forest,180892
2009,Palisades,Orange,Sterling Forest,176457
2008,Palisades,Orange,Sterling Forest,157074
2007,Palisades,Orange,Sterling Forest,149188
2006,Palisades,Orange,Sterling Forest,124683
2005,Palisades,Orange,Sterling Forest,113856
2004,Palisades,Orange,Sterling Forest,83661
2003,Palisades,Orange,Sterling Forest,72579
2020,Central,Oneida,Steuben Memorial,5508
2019,Central,Oneida,Steuben Memorial,5171
2018,Central,Oneida,Steuben Memorial,957
2017,Central,Oneida,Steuben Memorial,0
2016,Central,Oneida,Steuben Memorial,0
2015,Central,Oneida,Steuben Memorial,0
2014,Central,Oneida,Steuben Memorial,0
2013,Central,Oneida,Steuben Memorial,21
2012,Central,Oneida,Steuben Memorial,883
2011,Central,Oneida,Steuben Memorial,528
2010,Central,Oneida,Steuben Memorial,552
2009,Central,Oneida,Steuben Memorial,967
2008,Central,Oneida,Steuben Memorial,908
2007,Central,Oneida,Steuben Memorial,3662
2006,Central,Oneida,Steuben Memorial,4599
2005,Central,Oneida,Steuben Memorial,6167
2004,Central,Oneida,Steuben Memorial,2101
2003,Central,Oneida,Steuben Memorial,2729
2020,Thousand Islands,St Lawrence,St Lawrence Golf Course,11414
2019,Thousand Islands,St Lawrence,St Lawrence Golf Course,8019
2018,Thousand Islands,St Lawrence,St Lawrence Golf Course,6791
2017,Thousand Islands,St Lawrence,St Lawrence Golf Course,8205
2016,Thousand Islands,St Lawrence,St Lawrence Golf Course,0
2015,Thousand Islands,St Lawrence,St Lawrence Golf Course,0
2014,Thousand Islands,St Lawrence,St Lawrence Golf Course,9386
2013,Thousand Islands,St Lawrence,St Lawrence Golf Course,9789
2012,Thousand Islands,St Lawrence,St Lawrence Golf Course,10101
2011,Thousand Islands,St Lawrence,St Lawrence Golf Course,9726
2010,Thousand Islands,St Lawrence,St Lawrence Golf Course,12287
2009,Thousand Islands,St Lawrence,St Lawrence Golf Course,13192
2008,Thousand Islands,St Lawrence,St Lawrence Golf Course,11991
2007,Thousand Islands,St Lawrence,St Lawrence Golf Course,16127
2006,Thousand Islands,St Lawrence,St Lawrence Golf Course,17579
2005,Thousand Islands,St Lawrence,St Lawrence Golf Course,37015
2004,Thousand Islands,St Lawrence,St Lawrence Golf Course,31271
2003,Thousand Islands,St Lawrence,St Lawrence Golf Course,18226
2020,Finger Lakes,Steuben,Stony Brook St Pk,226726
2019,Finger Lakes,Steuben,Stony Brook St Pk,176169
2018,Finger Lakes,Steuben,Stony Brook St Pk,173719
2017,Finger Lakes,Steuben,Stony Brook St Pk,174768
2016,Finger Lakes,Steuben,Stony Brook St Pk,212655
2015,Finger Lakes,Steuben,Stony Brook St Pk,173973
2014,Finger Lakes,Steuben,Stony Brook St Pk,164536
2013,Finger Lakes,Steuben,Stony Brook St Pk,156501
2012,Finger Lakes,Steuben,Stony Brook St Pk,152114
2011,Finger Lakes,Steuben,Stony Brook St Pk,146987
2010,Finger Lakes,Steuben,Stony Brook St Pk,121853
2009,Finger Lakes,Steuben,Stony Brook St Pk,129984
2008,Finger Lakes,Steuben,Stony Brook St Pk,116595
2007,Finger Lakes,Steuben,Stony Brook St Pk,130359
2006,Finger Lakes,Steuben,Stony Brook St Pk,113703
2005,Finger Lakes,Steuben,Stony Brook St Pk,99904
2004,Finger Lakes,Steuben,Stony Brook St Pk,98645
2003,Finger Lakes,Steuben,Stony Brook St Pk,99231
2020,Thousand Islands,Jefferson,Stony Creek,23951
2019,Thousand Islands,Jefferson,Stony Creek,22460
2018,Thousand Islands,Jefferson,Stony Creek,23365
2017,Thousand Islands,Jefferson,Stony Creek,25943
2016,Thousand Islands,Jefferson,Stony Creek,28505
2015,Thousand Islands,Jefferson,Stony Creek,35987
2014,Thousand Islands,Jefferson,Stony Creek,35187
2013,Thousand Islands,Jefferson,Stony Creek,33796
2012,Thousand Islands,Jefferson,Stony Creek,29421
2011,Thousand Islands,Jefferson,Stony Creek,23649
2010,Thousand Islands,Jefferson,Stony Creek,23623
2009,Thousand Islands,Jefferson,Stony Creek,24373
2008,Thousand Islands,Jefferson,Stony Creek,22170
2007,Thousand Islands,Jefferson,Stony Creek,24192
2006,Thousand Islands,Jefferson,Stony Creek,22245
2005,Thousand Islands,Jefferson,Stony Creek,23364
2004,Thousand Islands,Jefferson,Stony Creek,16102
2003,Thousand Islands,Jefferson,Stony Creek,14341
2020,Palisades,Rockland,Stony Point Battlefield,32060
2019,Palisades,Rockland,Stony Point Battlefield,35533
2018,Palisades,Rockland/Orange,Stony Point Battlefield,28514
2017,Palisades,Rockland/Orange,Stony Point Battlefield,25660
2016,Palisades,Orange,Stony Point Battlefield,35086
2015,Palisades,Orange,Stony Point Battlefield,35121
2014,Palisades,Rockland,Stony Point Battlefield,34486
2013,Palisades,Rockland,Stony Point Battlefield,36404
2012,Palisades,Rockland,Stony Point Battlefield,29137
2011,Palisades,Rockland,Stony Point Battlefield,28545
2010,Palisades,Rockland,Stony Point Battlefield,23167
2009,Palisades,Rockland,Stony Point Battlefield,29557
2008,Palisades,Rockland,Stony Point Battlefield,29118
2007,Palisades,Rockland,Stony Point Battlefield,26420
2006,Palisades,Rockland,Stony Point Battlefield,28437
2005,Palisades,Rockland,Stony Point Battlefield,27364
2004,Palisades,Rockland,Stony Point Battlefield,25988
2003,Palisades,Rockland,Stony Point Battlefield,21414
2020,Palisades,Orange,Storm King,33873
2019,Palisades,Orange,Storm King,14239
2018,Palisades,Rockland/Orange,Storm King,14505
2017,Palisades,Rockland/Orange,Storm King,15628
2016,Palisades,Rockland,Storm King,15066
2015,Palisades,Rockland,Storm King,11673
2014,Palisades,Orange,Storm King,6944
2013,Palisades,Orange,Storm King,8522
2012,Palisades,Orange,Storm King,7463
2011,Palisades,Orange,Storm King,10359
2010,Palisades,Orange,Storm King,5746
2009,Palisades,Orange,Storm King,3993
2008,Palisades,Orange,Storm King,2343
2007,Palisades,Orange,Storm King,2977
2006,Palisades,Orange,Storm King,3045
2005,Palisades,Orange,Storm King,2293
2004,Palisades,Orange,Storm King,0
2003,Palisades,Orange,Storm King,0
2020,Long Island,Suffolk,Sunken Meadow St Pk,3902163
2019,Long Island,Suffolk,Sunken Meadow St Pk,3602722
2018,Long Island,Suffolk,Sunken Meadow St Pk,3193085
2017,Long Island,Suffolk,Sunken Meadow St Pk,3535216
2016,Long Island,Suffolk,Sunken Meadow St Pk,2877481
2015,Long Island,Suffolk,Sunken Meadow St Pk,2210157
2014,Long Island,Suffolk,Sunken Meadow St Pk,2042449
2013,Long Island,Suffolk,Sunken Meadow St Pk,1797632
2012,Long Island,Suffolk,Sunken Meadow St Pk,1899620
2011,Long Island,Suffolk,Sunken Meadow St Pk,1614554
2010,Long Island,Suffolk,Sunken Meadow St Pk,1624952
2009,Long Island,Suffolk,Sunken Meadow St Pk,1447456
2008,Long Island,Suffolk,Sunken Meadow St Pk,1680069
2007,Long Island,Suffolk,Sunken Meadow St Pk,2550645
2006,Long Island,Suffolk,Sunken Meadow St Pk,2075540
2005,Long Island,Suffolk,Sunken Meadow St Pk,2111860
2004,Long Island,Suffolk,Sunken Meadow St Pk,1695351
2003,Long Island,Suffolk,Sunken Meadow St Pk,1262955
2020,Allegany,Chautauqua,Sunset Bay MarinePark,31292
